num_episodes,run,J_opt_sigma,J_opt,J_sigma,J,loss,weights,diff_weights,diff_pi,k
500,7,[[-23.52969154]],[[-23.63818024]],[[-23.69193271]],[[-23.6035348]],0.03501708887090409,"[0.42132235594778555, 0.27722653778894873, 0.19015011743350582, 0.11130098882976]",0.1270338981608105,0.07249128908737876,[-0.72082415 -0.06556955 -0.10819164 -0.74446235]
1000,7,[[-23.52969154]],[[-23.63818024]],[[-23.71103734]],[[-23.62224366]],1.5418035220337427,"[0.3230809939376919, 0.36961074136123523, 0.16809420429002742, 0.13921406041104545]",0.06916485564166928,0.07881678236561615,[-0.70253657 -0.07654316 -0.09135797 -0.75204965]
2,8,[[-23.52969154]],[[-23.63818024]],[[-28.49972489]],[[-28.1985168]],0.19072623256919335,"[0.6489222770253612, 0.04031615094506397, 0.30787397372591707, 0.0028875983036578145]",0.48518143161434174,0.5970831270684869,[-0.62597175 -0.02613523 -0.64462823 -0.83954106]
5,8,[[-23.52969154]],[[-23.63818024]],[[-26.37215584]],[[-26.25473251]],0.7738287841293445,"[0.9098634839759482, 0.02300796021247671, 2.8517249241140135e-14, 0.0671285558115465]",0.6549438499727446,0.39644323907240114,[-0.98614985 -0.11758228 -0.01524497 -0.44751892]
10,8,[[-23.52969154]],[[-23.63818024]],[[-24.37951316]],[[-24.28169405]],1.117237903595522,"[0.755868885123695, 0.15603168311462126, 0.0, 0.08809943176169448]",0.4582519867837911,0.23770736850404217,[-0.98534073 -0.08034927 -0.00819059 -0.68459126]
20,8,[[-23.52969154]],[[-23.63818024]],[[-24.3235493]],[[-24.19304291]],0.7181533814647769,"[0.5093822599135349, 0.3239162366772876, 0.0, 0.1667015034091775]",0.1950183530882809,0.23124964409513998,[-0.97991378 -0.10741984 -0.00607917 -0.69793853]
50,8,[[-23.52969154]],[[-23.63818024]],[[-24.04924363]],[[-23.93969712]],1.0396764306646515,"[0.7384660811391506, 0.09028912570745422, 0.15319128820520442, 0.01805350494819081]",0.4747632837674086,0.1557938679147286,[-0.80175836 -0.03735114 -0.21727697 -0.81038504]
100,8,[[-23.52969154]],[[-23.63818024]],[[-25.18481892]],[[-25.12957546]],2.150193594683054,"[0.6734355805542618, 0.05469066889859537, 0.25327553085318577, 0.018598219693957054]",0.4684419003455504,0.3350682548529718,[-0.69826942 -0.04304748 -0.39629558 -0.75798745]
200,8,[[-23.52969154]],[[-23.63818024]],[[-24.22009477]],[[-24.08735089]],4.24896307469011,"[0.3588944775457197, 0.4910818231208098, 0.0, 0.15002369933347054]",0.1731633998306462,0.2113966241768096,[-0.97246373 -0.11112238 -0.00694412 -0.77200594]
500,8,[[-23.52969154]],[[-23.63818024]],[[-23.82390344]],[[-23.73517056]],0.4318437508456824,"[0.5120879817267945, 0.3315969267505525, 0.05344120685708636, 0.10287388466556667]",0.16213317784243234,0.12103995530541367,[-0.89175003 -0.07004397 -0.03936849 -0.77542616]
1000,8,[[-23.52969154]],[[-23.63818024]],[[-23.68832183]],[[-23.59660747]],0.004797884124057957,"[0.4339674542011297, 0.3613361053249147, 0.08245616670666625, 0.12224027376728928]",0.07403685915018705,0.06576009839884155,[-0.83720975 -0.07637317 -0.05339652 -0.76449345]
2,9,[[-23.52969154]],[[-23.63818024]],[[-24.74088578]],[[-24.72219331]],13.071341652370542,"[0.0, 1.0, 0.0, 0.0]",0.75,0.26359015381226025,[-0.6026497  -0.08018204 -0.08018204 -0.9741178 ]
5,9,[[-23.52969154]],[[-23.63818024]],[[-24.65681171]],[[-24.60918831]],0.7553331301123696,"[0.9901475740820058, 0.005613419995529014, 0.0, 0.004239005922471315]",0.7382826024477139,0.2591548578644802,[-0.97906186 -0.0780426  -0.05480902 -0.61623498]
10,9,[[-23.52969154]],[[-23.63818024]],[[-63.69956928]],[[-63.66496019]],3.0236969458681315,"[0.0, 0.42300402306699325, 0.0002231861993942259, 0.5767727907336127]",0.6021605217382521,1.6558265683202564,[-0.75772193 -1.66262847 -0.02896753 -0.31777092]
20,9,[[-23.52969154]],[[-23.63818024]],[[-24.83836693]],[[-24.99504871]],1.7983892636733687,"[0.593641904291184, 0.055731501949456745, 0.2729540388047986, 0.0776725549545607]",0.4169735492962425,0.28708451743910607,[-0.69301849 -0.0803496  -0.25931995 -0.5740032 ]
50,9,[[-23.52969154]],[[-23.63818024]],[[-40.02368428]],[[-40.05415755]],0.9778346746335549,"[2.432932734398528e-17, 0.4137854562121995, 0.42707743868889053, 0.15913710509890988]",0.48429890824052335,0.6394523734546314,[-0.14566836 -0.07058292 -0.18239761 -0.75510147]
100,9,[[-23.52969154]],[[-23.63818024]],[[-35.68802769]],[[-36.09470233]],0.19577464100989866,"[8.368685518872487e-19, 0.4427947401068521, 0.31571304219286855, 0.24149221770027943]",0.44177259764877197,0.6011819189025289,[-0.18946484 -0.12749038 -0.16511557 -0.69406991]
200,9,[[-23.52969154]],[[-23.63818024]],[[-30.64058056]],[[-31.53704893]],3.296215444683782,"[3.1372931460832074e-15, 0.5887426783339498, 0.14244293966596383, 0.26881438200008323]",0.45529964326322975,0.5348638265550117,[-0.28228728 -0.25205672 -0.13781308 -0.69556884]
500,9,[[-23.52969154]],[[-23.63818024]],[[-50.59984712]],[[-50.86003716]],1.4453779682305532,"[4.860689038698146e-16, 0.6782812457203772, 0.0, 0.32171875427962254]",0.5356564032017446,1.3720880621285572,[-0.73096206 -1.41452805 -0.04264239 -0.49735443]
