num_episodes,run,J_opt_sigma,J_opt,J_sigma,J,loss,weights,diff_weights,diff_pi,k
10,5,[[-23.52969154]],[[-23.63818024]],[[-51.16223597]],[[-51.41292052]],17.313144184334597,"[0.6712446296798853, 0.0, 0.32875537032380614, 0.0]",0.5343473884562024,1.3864735839520972,[-0.49111696 -0.04215335 -1.42796739 -0.73232597]
20,5,[[-23.52969154]],[[-23.63818024]],[[-30.18515368]],[[-31.0409469]],27.73143628462193,"[0.8100213483804253, 0.0, 0.17674685940476742, 0.013231792214864918]",0.5873997304021183,0.6429706528904173,[-0.71374757 -0.08335277 -0.67002439 -0.54766403]
50,5,[[-23.52969154]],[[-23.63818024]],[[-31.72798312]],[[-32.58622707]],24.671068379227446,"[0.7919868002152268, 0.0, 0.19683681761903124, 0.01117638380567192]",0.5767315974722707,0.7222435928229393,[-0.6837933  -0.07768116 -0.75873782 -0.57142453]
100,5,[[-23.52969154]],[[-23.63818024]],[[-23.83575339]],[[-23.77994555]],2.143960831779266,"[0.5770924533538806, 0.13593289860463775, 0.21914831439925547, 0.0678263337232089]",0.3318541424962505,0.12520319459707843,[-0.73481993 -0.05873202 -0.17292788 -0.71461453]
200,5,[[-23.52969154]],[[-23.63818024]],[[-23.71681197]],[[-23.62997609]],0.059412264831109764,"[0.3149864386771757, 0.36902162331077454, 0.16035922680445855, 0.1556327113226413]",0.07632828082481674,0.08161861302397373,[-0.70684309 -0.08434618 -0.08675309 -0.73497636]
500,5,[[-23.52969154]],[[-23.63818024]],[[-24.14810953]],[[-24.08257464]],6.150758440872159,"[0.6420108719534505, 0.09188279462187351, 0.2322290967737208, 0.03387723665095518]",0.4138255609767673,0.19487672189959224,[-0.72700546 -0.04668889 -0.25775112 -0.75321178]
1000,5,[[-23.52969154]],[[-23.63818024]],[[-23.65402622]],[[-23.56705936]],4.2425903380871866,"[0.5381647831862069, 0.23576154600065286, 0.14808024227077904, 0.07799342854236134]",0.22079947664750058,0.036193000754180894,[-0.78874535 -0.0562214  -0.10100178 -0.76939683]
2,6,[[-23.52969154]],[[-23.63818024]],[[-28.54638411]],[[-28.93444567]],25.39639350340882,"[0.9166513473242122, 0.0, 0.0833486527894846, 2.637238467256258e-11]",0.6718415116498773,0.5598636891605919,[-0.79672433 -0.06620586 -0.61802278 -0.65389474]
5,6,[[-23.52969154]],[[-23.63818024]],[[-25.83636766]],[[-26.10805941]],7.224168712182889,"[0.9530820783879922, 0.0, 0.04534298624024301, 0.0015749353717656928]",0.7045444455625115,0.3559017072075542,[-0.87569864 -0.07719741 -0.36910228 -0.60722163]
10,6,[[-23.52969154]],[[-23.63818024]],[[-24.1708364]],[[-24.1038492]],4.5517438628556555,"[0.8799523907916332, 0.07041690850831137, 0.01959360566411722, 0.03003709503593821]",0.6065280190353334,0.1949075894724626,[-0.95904352 -0.06157436 -0.04551297 -0.71704251]
